source_parcel_fid,ground_elev_min_m,ground_elev_p50_m,ground_elev_max_m,ground_relief_m,slope_p50_deg,slope_p95_deg,low_point_elev_m,terrain_point_count,canopy_cover_ratio_2m,canopy_height_p50_m,canopy_height_p95_m,tall_canopy_cover_ratio_8m,vegetation_point_count,lidar_source_tiles,lidar_metric_method,lidar_metric_confidence,lidar_metric_flags,lidar_metric_updated_at,lidar_metric_provenance
11,23.97,24.087,24.127,0.157,,,23.97,1392,0.0,0.046,0.121,0.0,2436,{pei_2020_393000_693000.copc.laz},parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
12,24.217,24.351,24.418,0.201,,,24.217,1044,0.18182,0.116,2.071,0.0,4524,{pei_2020_393000_693000.copc.laz},parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
13,22.443,23.833,24.353,1.91,,,22.443,6264,0.0,0.412,0.592,0.0,12876,{pei_2020_393000_693000.copc.laz},parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
14,-0.292,19.062,57.64,57.932,,,-0.292,22793323,0.90832,12.89,34.327,0.67145,30551159,"{pei_2020_385000_689000.copc.laz,pei_2020_385000_691000.copc.laz,pei_2020_385000_692000.copc.laz,pei_2020_385000_693000.copc.laz,pei_2020_385000_694000.copc.laz,pei_2020_386000_689000.copc.laz,pei_2020_386000_690000.copc.laz,pei_2020_386000_691000.copc.laz,pei_2020_386000_692000.copc.laz,pei_2020_386000_693000.copc.laz,pei_2020_386000_694000.copc.laz,pei_2020_387000_688000.copc.laz,pei_2020_387000_689000.copc.laz,pei_2020_387000_690000.copc.laz,pei_2020_387000_691000.copc.laz,pei_2020_387000_692000.copc.laz,pei_2020_387000_693000.copc.laz,pei_2020_387000_694000.copc.laz,pei_2020_388000_686000.copc.laz,pei_2020_388000_687000.copc.laz,pei_2020_388000_688000.copc.laz,pei_2020_388000_689000.copc.laz,pei_2020_388000_690000.copc.laz,pei_2020_388000_691000.copc.laz,pei_2020_388000_692000.copc.laz,pei_2020_388000_693000.copc.laz,pei_2020_388000_694000.copc.laz,pei_2020_389000_686000.copc.laz,pei_2020_389000_687000.copc.laz,pei_2020_389000_688000.copc.laz,pei_2020_389000_689000.copc.laz,pei_2020_389000_690000.copc.laz,pei_2020_389000_691000.copc.laz,pei_2020_389000_692000.copc.laz,pei_2020_389000_693000.copc.laz,pei_2020_390000_686000.copc.laz,pei_2020_390000_687000.copc.laz,pei_2020_390000_688000.copc.laz,pei_2020_390000_689000.copc.laz,pei_2020_390000_690000.copc.laz,pei_2020_390000_691000.copc.laz,pei_2020_390000_692000.copc.laz,pei_2020_390000_693000.copc.laz,pei_2020_391000_687000.copc.laz,pei_2020_391000_688000.copc.laz,pei_2020_391000_689000.copc.laz,pei_2020_391000_690000.copc.laz,pei_2020_391000_691000.copc.laz,pei_2020_391000_692000.copc.laz,pei_2020_391000_693000.copc.laz,pei_2020_392000_689000.copc.laz,pei_2020_392000_690000.copc.laz,pei_2020_392000_691000.copc.laz,pei_2020_392000_692000.copc.laz,pei_2020_392000_693000.copc.laz,pei_2020_393000_692000.copc.laz,pei_2020_393000_693000.copc.laz}",parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
15,20.73,22.283,24.15,3.42,,,20.73,14329,0.34615,1.658,7.788,0.03846,13700,"{pei_2020_392000_692000.copc.laz,pei_2020_392000_693000.copc.laz,pei_2020_393000_692000.copc.laz,pei_2020_393000_693000.copc.laz}",parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
16,19.544,23.469,27.011,7.467,,,19.544,41586,0.8626,10.576,19.546,0.62977,116118,"{pei_2020_392000_692000.copc.laz,pei_2020_393000_692000.copc.laz}",parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
17,25.676,28.306,29.821,4.145,,,25.676,5404,0.96679,14.407,18.047,0.86347,106536,{pei_2020_393000_692000.copc.laz},parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
18,30.274,30.916,31.557,1.283,,,30.274,5404,0.87629,8.838,15.565,0.5567,40530,{pei_2020_393000_692000.copc.laz},parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
19,31.24,33.704,36.905,5.665,,,31.24,13124,0.95899,12.453,18.843,0.70978,125450,{pei_2020_393000_692000.copc.laz},parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
20,37.162,38.457,39.518,2.356,,,37.162,15826,0.89501,12.097,15.46,0.75591,161348,{pei_2020_393000_692000.copc.laz},parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
