page_number,printed_page_label,section,title_guess,content_type,text_extraction_method,embedded_line_count,table_candidate,table_family,column_pattern,entities,periods,amount_line_count,numeric_token_count,repeated_header,continuation_candidate,continuation_group,confidence,review_reasons
1,,Front matter,OPERATING,text_or_divider,embedded_text,5,False,,,[],"[""2025/2026""]",0,2,False,False,,medium,[]
2,,Front matter,Table of Contents,text_or_divider,embedded_text,29,False,,,"[""Bell Aliant Centre"", ""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",0,29,False,False,,medium,[]
3,,Front matter,City of Charlottetown and Charlottetown Water and Sewer 2025/2026 Capital,text_or_divider,embedded_text,19,False,,,"[""Bell Aliant Centre"", ""Eastlink Centre"", ""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",0,18,False,False,,medium,[]
4,1,Front matter,About the City of Charlottetown,text_or_divider,embedded_text,32,False,,,"[""City of Charlottetown""]",[],1,4,False,False,,medium,[]
5,2,Front matter,"Introduction from the Chair of the Finance,",text_or_divider,embedded_text,25,False,,,"[""Charlottetown Water and Sewer""]","[""2025/2026""]",0,4,False,False,,medium,[]
6,3,Front matter,Mayor and Council,text_or_divider,embedded_text,9,False,,,[],[],0,12,False,False,,medium,[]
7,4,Strategic Plan,City of Charlottetown Strategic Plan,text_or_divider,embedded_text,34,False,,,"[""City of Charlottetown""]","[""2022"", ""2026""]",0,6,False,False,,medium,[]
8,5,Strategic Plan,Our Guiding Principles,text_or_divider,embedded_text,26,False,,,[],"[""2023"", ""2025-26""]",0,5,False,False,,medium,[]
9,6,Budget Overview,Budget Overview,text_or_divider,embedded_text,36,False,,,"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2024"", ""2025""]",0,23,False,False,,medium,[]
10,7,Budget Overview,Understanding Operational vs. Capital Budgets,text_or_divider,embedded_text,34,False,,,[],[],0,2,False,False,,medium,[]
11,8,Budget Overview,Start,text_or_divider,embedded_text,33,False,,,[],[],0,19,False,False,,medium,[]
12,9,Budget Overview,Services You Receive,text_or_divider,embedded_text,30,False,,,"[""Charlottetown Water and Sewer""]",[],0,2,False,False,,medium,[]
13,,Operating Budget,and,text_or_divider,embedded_text,5,False,,,"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",0,2,False,False,,medium,[]
14,11,Operating Budget,2025/2026 Budget,table_or_profile,embedded_text,32,True,operating_statement,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",10,33,False,False,continuation-001,medium,[]
15,12,Operating Budget,2025/2026 Budget,table_or_profile,embedded_text,31,True,operating_statement,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",12,39,False,True,continuation-001,medium,"[""adjacent same-family page; continuation requires visual review""]"
16,13,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,41,True,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",31,101,False,True,continuation-001,medium,"[""adjacent same-family page; continuation requires visual review""]"
17,14,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,56,True,operating_detail,"item | budget | forecast | variance (2024/25, 2025/2026, 2025/26)","[""City of Charlottetown""]","[""2024/25"", ""2025/2026"", ""2025/26""]",41,138,True,False,continuation-002,high,[]
18,15,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,34,True,operating_detail,"item | budget | forecast (2024/25, 2025/2026, 2025/26)","[""City of Charlottetown""]","[""2024/25"", ""2025/2026"", ""2025/26""]",22,72,True,True,continuation-002,high,"[""adjacent same-family page; continuation requires visual review""]"
19,16,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,26,True,tax_assessment_rate,class | assessment | rate | revenue,"[""City of Charlottetown""]","[""2025"", ""2025/2026"", ""2025/26""]",0,32,False,False,,medium,[]
20,,Operating Budget,CHARLOTTETOWN,text_or_divider,ocr_fallback,1,False,,,[],[],0,0,False,False,,medium,[]
21,18,Operating Budget,City Government,text_or_divider,embedded_text,27,False,,,[],[],0,2,False,False,,medium,[]
22,19,Operating Budget,Communications,text_or_divider,embedded_text,21,False,,,[],[],0,2,False,False,,medium,[]
23,20,Operating Budget,Information Technology,text_or_divider,embedded_text,18,False,,,"[""City of Charlottetown""]",[],0,2,False,False,,medium,[]
24,21,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,47,True,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",30,102,False,False,,medium,[]
25,22,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,52,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",18,85,True,False,continuation-003,high,[]
26,23,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,44,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",16,69,True,True,continuation-003,high,"[""adjacent same-family page; continuation requires visual review""]"
27,24,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,25,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",3,23,True,True,continuation-003,high,"[""adjacent same-family page; continuation requires visual review""]"
28,25,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,54,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",33,50,True,True,continuation-003,high,"[""adjacent same-family page; continuation requires visual review""]"
29,26,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,33,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",11,33,True,True,continuation-003,high,"[""adjacent same-family page; continuation requires visual review""]"
30,27,Operating Budget,"Economic, Tourism and Cultural",text_or_divider,embedded_text,28,False,,,[],[],0,2,False,False,,medium,[]
31,28,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,38,True,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",20,81,False,False,continuation-004,medium,[]
32,29,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,24,True,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",12,49,False,True,continuation-004,medium,"[""adjacent same-family page; continuation requires visual review""]"
33,30,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,55,True,operating_detail,item | budget (2025/2026),"[""Eastlink Centre"", ""City of Charlottetown""]","[""2025/2026""]",7,76,True,False,continuation-005,high,[]
34,31,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,58,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",6,98,True,True,continuation-005,high,"[""adjacent same-family page; continuation requires visual review""]"
35,32,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,46,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",4,40,True,True,continuation-005,high,"[""adjacent same-family page; continuation requires visual review""]"
36,33,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,37,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",5,45,True,True,continuation-005,high,"[""adjacent same-family page; continuation requires visual review""]"
37,34,Operating Budget,Environment and Sustainability,text_or_divider,embedded_text,30,False,,,[],"[""2025""]",0,4,False,False,,medium,[]
