source_id,height_lidar_m,height_lidar_method,height_lidar_confidence,height_lidar_status,height_lidar_source_tiles,height_lidar_point_count,height_lidar_roof_m,height_lidar_ground_m,height_lidar_updated_at,height_lidar_provenance
12,19.22,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_389000_686000.copc.laz},10958,22.408,3.193,2026-05-06T22:11:50.463262+00:00,"{""area_m2"": 1296.507, ""ground_buffer_m"": 3, ""ground_p50_m"": 3.334, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 21.267, ""roof_p98_m"": 22.582, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
13,20.41,roof_p95_minus_ground_p05_v1,high,derived,"{pei_2020_389000_686000.copc.laz,pei_2020_389000_687000.copc.laz}",15764,24.321,3.915,2026-05-06T22:11:50.464135+00:00,"{""area_m2"": 1855.527, ""ground_buffer_m"": 3, ""ground_p50_m"": 4.056, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 22.361, ""roof_p98_m"": 24.374, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
14,22.81,roof_p95_minus_ground_p05_v1,high,derived,"{pei_2020_389000_686000.copc.laz,pei_2020_389000_687000.copc.laz}",10805,25.38,2.569,2026-05-06T22:11:50.464790+00:00,"{""area_m2"": 1207.241, ""ground_buffer_m"": 3, ""ground_p50_m"": 4.026, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 25.33, ""roof_p98_m"": 25.908, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
15,23.76,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},4549,29.503,5.748,2026-05-06T22:11:50.465369+00:00,"{""area_m2"": 886.445, ""ground_buffer_m"": 3, ""ground_p50_m"": 6.126, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 28.537, ""roof_p98_m"": 29.766, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
16,14.68,roof_p95_minus_ground_p05_v1,high,derived,"{pei_2020_390000_688000.copc.laz,pei_2020_391000_688000.copc.laz}",98066,21.118,6.434,2026-05-06T22:11:50.467897+00:00,"{""area_m2"": 12329.32, ""ground_buffer_m"": 3, ""ground_p50_m"": 6.817, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 20.149, ""roof_p98_m"": 22.204, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
17,10.86,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_388000_690000.copc.laz},240193,31.436,20.58,2026-05-06T22:11:50.474523+00:00,"{""area_m2"": 33994.842, ""ground_buffer_m"": 3, ""ground_p50_m"": 23.395, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 30.214, ""roof_p98_m"": 31.902, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
18,8.77,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_388000_690000.copc.laz},26779,30.456,21.684,2026-05-06T22:11:50.475434+00:00,"{""area_m2"": 3548.022, ""ground_buffer_m"": 3, ""ground_p50_m"": 22.012, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 30.284, ""roof_p98_m"": 31.643, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
19,7.91,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_389000_692000.copc.laz},63172,56.592,48.681,2026-05-06T22:11:50.477247+00:00,"{""area_m2"": 7478.177, ""ground_buffer_m"": 3, ""ground_p50_m"": 49.336, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 55.605, ""roof_p98_m"": 56.748, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
20,33.36,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_389000_692000.copc.laz},4762,80.956,47.595,2026-05-06T22:11:50.477649+00:00,"{""area_m2"": 400.853, ""ground_buffer_m"": 3, ""ground_p50_m"": 47.832, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 80.796, ""roof_p98_m"": 81.037, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
21,8.91,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_392000_690000.copc.laz},117681,12.527,3.616,2026-05-06T22:11:50.479753+00:00,"{""area_m2"": 9315.019, ""ground_buffer_m"": 3, ""ground_p50_m"": 3.87, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 12.493, ""roof_p98_m"": 12.579, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
22,9.93,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_389000_688000.copc.laz},8628,27.559,17.631,2026-05-06T22:11:50.480455+00:00,"{""area_m2"": 942.923, ""ground_buffer_m"": 3, ""ground_p50_m"": 18.201, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 27.449, ""roof_p98_m"": 27.766, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
23,9.25,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_389000_688000.copc.laz},22081,19.589,10.341,2026-05-06T22:11:50.481275+00:00,"{""area_m2"": 2220.134, ""ground_buffer_m"": 3, ""ground_p50_m"": 11.359, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 19.481, ""roof_p98_m"": 19.7, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
24,7.57,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_389000_688000.copc.laz},13725,18.849,11.28,2026-05-06T22:11:50.481859+00:00,"{""area_m2"": 1411.792, ""ground_buffer_m"": 3, ""ground_p50_m"": 11.584, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 18.747, ""roof_p98_m"": 20.868, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
25,9.91,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_389000_688000.copc.laz},40952,20.614,10.707,2026-05-06T22:11:50.482817+00:00,"{""area_m2"": 4802.577, ""ground_buffer_m"": 3, ""ground_p50_m"": 11.684, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 19.141, ""roof_p98_m"": 20.754, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
26,12.83,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_389000_688000.copc.laz},65470,31.856,19.029,2026-05-06T22:11:50.484624+00:00,"{""area_m2"": 8429.624, ""ground_buffer_m"": 3, ""ground_p50_m"": 20.005, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 31.088, ""roof_p98_m"": 32.313, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
27,7.2,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_389000_688000.copc.laz},58149,25.815,18.611,2026-05-06T22:11:50.485718+00:00,"{""area_m2"": 7137.167, ""ground_buffer_m"": 3, ""ground_p50_m"": 18.861, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 25.791, ""roof_p98_m"": 27.038, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
28,7.41,roof_p95_minus_ground_p05_v1,high,derived,"{pei_2020_389000_687000.copc.laz,pei_2020_389000_688000.copc.laz}",109528,11.426,4.018,2026-05-06T22:11:50.487375+00:00,"{""area_m2"": 7322.518, ""ground_buffer_m"": 3, ""ground_p50_m"": 4.641, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 11.401, ""roof_p98_m"": 11.494, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
29,8.63,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_389000_687000.copc.laz},10008,16.579,7.949,2026-05-06T22:11:50.487847+00:00,"{""area_m2"": 1163.756, ""ground_buffer_m"": 3, ""ground_p50_m"": 8.704, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 16.521, ""roof_p98_m"": 18.017, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
30,12.25,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_389000_686000.copc.laz},7081,19.114,6.863,2026-05-06T22:11:50.488309+00:00,"{""area_m2"": 773.481, ""ground_buffer_m"": 3, ""ground_p50_m"": 7.067, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 18.492, ""roof_p98_m"": 19.596, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
31,17.41,roof_p95_minus_ground_p05_v1,high,derived,"{pei_2020_389000_686000.copc.laz,pei_2020_390000_686000.copc.laz}",28985,19.44,2.033,2026-05-06T22:11:50.489377+00:00,"{""area_m2"": 3778.488, ""ground_buffer_m"": 3, ""ground_p50_m"": 3.721, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 19.404, ""roof_p98_m"": 19.553, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
32,8.49,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_686000.copc.laz},10655,10.97,2.476,2026-05-06T22:11:50.489829+00:00,"{""area_m2"": 1248.712, ""ground_buffer_m"": 3, ""ground_p50_m"": 3.09, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 10.94, ""roof_p98_m"": 11.025, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
33,21.88,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},23954,30.161,8.279,2026-05-06T22:11:50.490669+00:00,"{""area_m2"": 2888.497, ""ground_buffer_m"": 3, ""ground_p50_m"": 8.379, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 29.989, ""roof_p98_m"": 30.765, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
