source_id,height_lidar_m,height_lidar_method,height_lidar_confidence,height_lidar_status,height_lidar_source_tiles,height_lidar_point_count,height_lidar_roof_m,height_lidar_ground_m,height_lidar_updated_at,height_lidar_provenance
440,7.43,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_686000.copc.laz},1829,11.573,4.146,2026-05-06T22:11:50.681694+00:00,"{""area_m2"": 109.075, ""ground_buffer_m"": 3, ""ground_p50_m"": 4.497, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 11.55, ""roof_p98_m"": 11.594, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
441,10.83,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_686000.copc.laz},1090,15.105,4.28,2026-05-06T22:11:50.682001+00:00,"{""area_m2"": 118.203, ""ground_buffer_m"": 3, ""ground_p50_m"": 4.466, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 14.935, ""roof_p98_m"": 15.159, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
442,7.87,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_686000.copc.laz},2133,12.099,4.224,2026-05-06T22:11:50.682333+00:00,"{""area_m2"": 138.323, ""ground_buffer_m"": 3, ""ground_p50_m"": 4.432, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 11.865, ""roof_p98_m"": 12.298, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
443,13.87,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_686000.copc.laz},1997,18.149,4.284,2026-05-06T22:11:50.682658+00:00,"{""area_m2"": 158.937, ""ground_buffer_m"": 3, ""ground_p50_m"": 4.631, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 17.286, ""roof_p98_m"": 18.6, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
444,10.55,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_686000.copc.laz},1606,15.171,4.617,2026-05-06T22:11:50.682983+00:00,"{""area_m2"": 98.161, ""ground_buffer_m"": 3, ""ground_p50_m"": 4.743, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 14.953, ""roof_p98_m"": 16.237, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
445,10.86,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_686000.copc.laz},2405,15.7,4.843,2026-05-06T22:11:50.683316+00:00,"{""area_m2"": 126.044, ""ground_buffer_m"": 3, ""ground_p50_m"": 5.163, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 15.543, ""roof_p98_m"": 15.777, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
446,7.38,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_686000.copc.laz},1987,13.008,5.631,2026-05-06T22:11:50.683654+00:00,"{""area_m2"": 106.297, ""ground_buffer_m"": 3, ""ground_p50_m"": 5.849, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 12.912, ""roof_p98_m"": 13.046, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
447,10.51,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_686000.copc.laz},1030,16.343,5.837,2026-05-06T22:11:50.683958+00:00,"{""area_m2"": 100.186, ""ground_buffer_m"": 3, ""ground_p50_m"": 5.968, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 15.987, ""roof_p98_m"": 16.465, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
448,9.64,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_686000.copc.laz},2265,15.966,6.323,2026-05-06T22:11:50.684279+00:00,"{""area_m2"": 128.808, ""ground_buffer_m"": 3, ""ground_p50_m"": 6.784, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 15.833, ""roof_p98_m"": 16.041, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
449,13.29,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_686000.copc.laz},8207,17.561,4.273,2026-05-06T22:11:50.684777+00:00,"{""area_m2"": 514.117, ""ground_buffer_m"": 3, ""ground_p50_m"": 4.947, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 17.541, ""roof_p98_m"": 17.675, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
450,20.55,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},3103,34.577,14.03,2026-05-06T22:11:50.685100+00:00,"{""area_m2"": 306.969, ""ground_buffer_m"": 3, ""ground_p50_m"": 14.119, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 32.679, ""roof_p98_m"": 36.157, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
451,14.25,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},10218,28.295,14.041,2026-05-06T22:11:50.685508+00:00,"{""area_m2"": 1262.166, ""ground_buffer_m"": 3, ""ground_p50_m"": 14.272, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 28.259, ""roof_p98_m"": 28.35, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
452,14.83,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},1942,27.0,12.166,2026-05-06T22:11:50.685865+00:00,"{""area_m2"": 215.868, ""ground_buffer_m"": 3, ""ground_p50_m"": 13.218, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 26.761, ""roof_p98_m"": 27.058, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
453,8.04,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},3112,21.016,12.975,2026-05-06T22:11:50.686203+00:00,"{""area_m2"": 326.884, ""ground_buffer_m"": 3, ""ground_p50_m"": 13.483, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 20.867, ""roof_p98_m"": 24.102, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
454,9.34,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},1386,23.776,14.437,2026-05-06T22:11:50.686509+00:00,"{""area_m2"": 133.171, ""ground_buffer_m"": 3, ""ground_p50_m"": 14.814, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 23.52, ""roof_p98_m"": 23.876, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
455,10.73,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},1821,25.165,14.438,2026-05-06T22:11:50.686823+00:00,"{""area_m2"": 206.417, ""ground_buffer_m"": 3, ""ground_p50_m"": 14.636, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 24.921, ""roof_p98_m"": 25.251, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
456,10.72,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},2909,25.172,14.449,2026-05-06T22:11:50.687155+00:00,"{""area_m2"": 324.229, ""ground_buffer_m"": 3, ""ground_p50_m"": 14.753, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 24.816, ""roof_p98_m"": 26.309, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
457,20.86,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},2455,32.938,12.076,2026-05-06T22:11:50.687485+00:00,"{""area_m2"": 221.932, ""ground_buffer_m"": 3, ""ground_p50_m"": 13.37, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 31.675, ""roof_p98_m"": 33.701, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
458,18.67,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},2620,31.294,12.622,2026-05-06T22:11:50.687802+00:00,"{""area_m2"": 289.729, ""ground_buffer_m"": 3, ""ground_p50_m"": 13.187, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 26.75, ""roof_p98_m"": 32.915, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
459,12.28,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},2339,25.749,13.474,2026-05-06T22:11:50.688127+00:00,"{""area_m2"": 331.983, ""ground_buffer_m"": 3, ""ground_p50_m"": 13.756, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 25.105, ""roof_p98_m"": 25.94, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
460,11.03,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},411,24.973,13.941,2026-05-06T22:11:50.688418+00:00,"{""area_m2"": 60.665, ""ground_buffer_m"": 3, ""ground_p50_m"": 14.309, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 24.804, ""roof_p98_m"": 25.58, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
461,11.07,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},2534,25.009,13.936,2026-05-06T22:11:50.688734+00:00,"{""area_m2"": 262.89, ""ground_buffer_m"": 3, ""ground_p50_m"": 14.55, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 24.917, ""roof_p98_m"": 25.097, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
462,11.67,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},2787,25.007,13.336,2026-05-06T22:11:50.689051+00:00,"{""area_m2"": 304.216, ""ground_buffer_m"": 3, ""ground_p50_m"": 14.093, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 24.97, ""roof_p98_m"": 25.044, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
463,12.62,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},1566,24.492,11.875,2026-05-06T22:11:50.689356+00:00,"{""area_m2"": 164.186, ""ground_buffer_m"": 3, ""ground_p50_m"": 12.214, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 24.289, ""roof_p98_m"": 26.741, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
464,12.04,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_688000.copc.laz},1828,24.419,12.375,2026-05-06T22:11:50.689680+00:00,"{""area_m2"": 196.699, ""ground_buffer_m"": 3, ""ground_p50_m"": 12.75, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 23.903, ""roof_p98_m"": 24.653, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
465,11.31,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_688000.copc.laz},2188,23.98,12.668,2026-05-06T22:11:50.689994+00:00,"{""area_m2"": 216.976, ""ground_buffer_m"": 3, ""ground_p50_m"": 13.259, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 23.657, ""roof_p98_m"": 24.539, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
466,12.02,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},13693,15.152,3.133,2026-05-06T22:11:50.690577+00:00,"{""area_m2"": 1652.453, ""ground_buffer_m"": 3, ""ground_p50_m"": 3.671, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 15.067, ""roof_p98_m"": 15.7, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
467,12.74,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},18378,14.431,1.693,2026-05-06T22:11:50.691269+00:00,"{""area_m2"": 2344.207, ""ground_buffer_m"": 3, ""ground_p50_m"": 2.496, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 14.272, ""roof_p98_m"": 14.51, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
468,20.68,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},11485,24.283,3.599,2026-05-06T22:11:50.691805+00:00,"{""area_m2"": 1392.111, ""ground_buffer_m"": 3, ""ground_p50_m"": 3.949, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 23.601, ""roof_p98_m"": 28.121, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
469,12.85,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},11188,16.627,3.779,2026-05-06T22:11:50.692316+00:00,"{""area_m2"": 1382.872, ""ground_buffer_m"": 3, ""ground_p50_m"": 5.441, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 16.596, ""roof_p98_m"": 16.722, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
470,17.86,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},7118,19.995,2.13,2026-05-06T22:11:50.692727+00:00,"{""area_m2"": 674.738, ""ground_buffer_m"": 3, ""ground_p50_m"": 2.398, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 16.493, ""roof_p98_m"": 28.989, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
471,5.77,roof_p95_minus_ground_p05_v1,low,derived,{pei_2020_390000_687000.copc.laz},635,8.537,2.769,2026-05-06T22:11:50.693036+00:00,"{""area_m2"": 85.668, ""ground_buffer_m"": 3, ""ground_p50_m"": 2.769, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 8.49, ""roof_p98_m"": 8.555, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
472,7.1,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},2254,9.111,2.015,2026-05-06T22:11:50.693352+00:00,"{""area_m2"": 220.909, ""ground_buffer_m"": 3, ""ground_p50_m"": 2.209, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 8.981, ""roof_p98_m"": 9.177, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
473,7.03,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},5146,9.519,2.494,2026-05-06T22:11:50.693763+00:00,"{""area_m2"": 554.603, ""ground_buffer_m"": 3, ""ground_p50_m"": 2.564, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 8.927, ""roof_p98_m"": 9.889, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
474,6.27,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},5372,8.619,2.345,2026-05-06T22:11:50.694173+00:00,"{""area_m2"": 541.191, ""ground_buffer_m"": 3, ""ground_p50_m"": 2.709, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 8.448, ""roof_p98_m"": 8.709, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
475,9.37,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},4226,11.306,1.933,2026-05-06T22:11:50.694541+00:00,"{""area_m2"": 484.484, ""ground_buffer_m"": 3, ""ground_p50_m"": 2.116, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 11.239, ""roof_p98_m"": 12.565, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
476,16.9,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},15431,22.771,5.873,2026-05-06T22:11:50.695220+00:00,"{""area_m2"": 1970.02, ""ground_buffer_m"": 3, ""ground_p50_m"": 6.633, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 22.729, ""roof_p98_m"": 26.573, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
477,7.03,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},4285,15.141,8.113,2026-05-06T22:11:50.695588+00:00,"{""area_m2"": 442.735, ""ground_buffer_m"": 3, ""ground_p50_m"": 8.345, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 14.933, ""roof_p98_m"": 15.274, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
478,9.22,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},990,14.973,5.756,2026-05-06T22:11:50.695885+00:00,"{""area_m2"": 108.252, ""ground_buffer_m"": 3, ""ground_p50_m"": 5.872, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 14.733, ""roof_p98_m"": 15.104, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
479,9.57,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},883,15.284,5.713,2026-05-06T22:11:50.696209+00:00,"{""area_m2"": 86.104, ""ground_buffer_m"": 3, ""ground_p50_m"": 5.914, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 15.22, ""roof_p98_m"": 15.318, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
480,21.32,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},1113,26.758,5.437,2026-05-06T22:11:50.696714+00:00,"{""area_m2"": 91.049, ""ground_buffer_m"": 3, ""ground_p50_m"": 5.692, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 26.061, ""roof_p98_m"": 27.104, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
481,15.89,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},1366,21.845,5.95,2026-05-06T22:11:50.697190+00:00,"{""area_m2"": 135.241, ""ground_buffer_m"": 3, ""ground_p50_m"": 6.178, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 19.747, ""roof_p98_m"": 22.623, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
482,7.8,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_392000_689000.copc.laz},3859,12.832,5.034,2026-05-06T22:11:50.697629+00:00,"{""area_m2"": 446.703, ""ground_buffer_m"": 3, ""ground_p50_m"": 5.306, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 12.69, ""roof_p98_m"": 13.402, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
483,9.79,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},2441,19.086,9.295,2026-05-06T22:11:50.697960+00:00,"{""area_m2"": 333.016, ""ground_buffer_m"": 3, ""ground_p50_m"": 10.423, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 18.849, ""roof_p98_m"": 19.32, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
484,9.77,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},2452,19.054,9.281,2026-05-06T22:11:50.698287+00:00,"{""area_m2"": 291.746, ""ground_buffer_m"": 3, ""ground_p50_m"": 10.403, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 18.63, ""roof_p98_m"": 19.556, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
485,10.44,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},2092,20.153,9.717,2026-05-06T22:11:50.698604+00:00,"{""area_m2"": 237.956, ""ground_buffer_m"": 3, ""ground_p50_m"": 10.233, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 20.004, ""roof_p98_m"": 20.29, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
486,10.53,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},2737,20.179,9.649,2026-05-06T22:11:50.698927+00:00,"{""area_m2"": 243.151, ""ground_buffer_m"": 3, ""ground_p50_m"": 10.305, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 19.56, ""roof_p98_m"": 21.952, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
487,13.99,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},10879,24.938,10.946,2026-05-06T22:11:50.699369+00:00,"{""area_m2"": 1314.929, ""ground_buffer_m"": 3, ""ground_p50_m"": 11.74, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 24.62, ""roof_p98_m"": 25.119, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
488,10.8,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},2096,21.306,10.503,2026-05-06T22:11:50.699705+00:00,"{""area_m2"": 193.746, ""ground_buffer_m"": 3, ""ground_p50_m"": 10.989, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 20.82, ""roof_p98_m"": 21.561, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
489,7.09,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},3895,19.573,12.482,2026-05-06T22:11:50.700075+00:00,"{""area_m2"": 427.303, ""ground_buffer_m"": 3, ""ground_p50_m"": 12.764, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 19.439, ""roof_p98_m"": 19.641, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
490,10.56,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},1133,23.33,12.77,2026-05-06T22:11:50.700383+00:00,"{""area_m2"": 159.499, ""ground_buffer_m"": 3, ""ground_p50_m"": 12.866, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 22.253, ""roof_p98_m"": 24.264, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
491,10.84,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},2189,23.275,12.434,2026-05-06T22:11:50.700699+00:00,"{""area_m2"": 204.985, ""ground_buffer_m"": 3, ""ground_p50_m"": 12.769, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 22.764, ""roof_p98_m"": 23.569, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
492,8.68,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},6176,20.496,11.821,2026-05-06T22:11:50.701089+00:00,"{""area_m2"": 756.032, ""ground_buffer_m"": 3, ""ground_p50_m"": 12.36, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 20.477, ""roof_p98_m"": 20.552, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
493,11.6,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},11339,20.686,9.086,2026-05-06T22:11:50.701642+00:00,"{""area_m2"": 1371.096, ""ground_buffer_m"": 3, ""ground_p50_m"": 10.368, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 19.987, ""roof_p98_m"": 25.307, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
