qa_status,source_layer,address_id,pid,address,draft1_zone,draft1_name,draft1_purpose,draft2_zone,draft2_name,draft2_purpose,draft1_overlap,draft2_overlap,change_type,comparison_rule,draft1_assign_method,draft1_parcel_fid,draft1_nearest_m,draft2_assign_method,draft2_parcel_fid,draft2_nearest_m,qa_finding,original_bylaw_zone_as_reported
unresolved_first_draft,properties_first_vs_second_draft_zone_changes,20648,1046077,440 ST PETERS RD,,,,GC,Growth Corridor,mixed_use,false,true,no_first_draft_zone_overlap,safe parcel fallback; Parcel_Map_Update fid 14 excluded,unresolved_no_zone,,240.621959530288,point_intersection,,0,No first-draft zone found after point intersection and safe parcel fallback; manual/source review required.,R-1L
unresolved_first_draft,properties_first_vs_second_draft_zone_changes,20689,192187,419 ST PETERS RD,,,,GC,Growth Corridor,mixed_use,false,true,no_first_draft_zone_overlap,safe parcel fallback; Parcel_Map_Update fid 14 excluded,unresolved_no_zone,,166.586347709598,point_intersection,,0,No first-draft zone found after point intersection and safe parcel fallback; manual/source review required.,MIXED-USE CORRIDOR ZONE
