pair_key,original_zone,original_zone_name,updated_zone,updated_zone_name,affected_property_count,distinct_pid_count,missing_pid_record_count,distinct_pids,use_comparison_status,added_permitted_use_count,removed_permitted_use_count,shared_permitted_use_count,added_permitted_uses,removed_permitted_uses,source_original,source_updated_draft
MUR -> [none],MUR,Medium Density Mixed Use Residential,,,3,2,0,1140797;1177104,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
MUR -> PPS,MUR,Medium Density Mixed Use Residential,PPS,Parks and Public Spaces,1,1,0,1141480,comparable,10,8,0,Active Recreation; Cemetery; Community Gardens; Community Institutional; Cultural Establishment; Golf Course; Government Offices; Library; Recreation or Fitness Centre (indoors); Trail System ZONING & DEVELOPMENT BYL AW,Block Townhouse Dwelling; Community Care Facility; Duplex Dwelling; Nursing Home; Semi-Detached Dwelling; Single detached Dwelling; Stacked Townhouse Dwelling; Townhouse Dwelling,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
MUR -> RM,MUR,Medium Density Mixed Use Residential,RM,Medium Density Residential,236,178,0,1105121;1113976;1114347;1114487;1114503;1114511;1114529;1114537;1114545;1114990;1115807;1119882;1120088;1120963;1121003;1123520;1123538;1123595;1123603;1123744;1123819;1123843;1123876;1124205;1124213;1124221;1124239;1124262;1124270;1124288;1124296;1124304;1125608;1126267;1128693;1128719;1129089;1131457;1133263;1133990;1134345;1134501;1138700;1140714;1140730;1140748;1140755;1140763;1140789;1140805;1140813;1140821;1140839;1140870;1140953;1140961;1141076;1141084;1141092;1141126;1141134;1141142;1141159;1141167;1141514;1141522;1141613;1141621;1141647;1141670;1141688;1142058;1142066;1142074;1142082;1142116;1142124;1142132;1142454;1142462;1142637;1142645;1143205;1143247;1143627;1143643;1143783;1145820;1145887;1145895;1147131;1147982;1149889;1150606;1151869;1152453;1152636;1154020;1155019;1155829;1156769;1157189;1157247;1157254;1157429;1157478;1157551;1157767;1157775;1157817;1157841;1157858;1158054;1159250;1161033;1161082;1161280;1161561;1161843;1161850;1161991;1162007;1162445;1162452;1163021;1163732;1164946;1165547;1165653;1165836;1165943;1166065;1166388;1166461;1169978;1169986;1169994;1170018;1170026;1170034;1171370;1172196;1172212;1172220;1172238;1173145;1173152;1173160;1173483;1174739;1174747;1174754;1174770;1174788;1176114;1176429;1177138;1177260;1177278;1177286;1177294;1177492;1177567;1177898;1178680;1180686;1180868;1183565;1183920;1184605;1187012;1188754;1189554;1193408;1193432;191965;193284;597310,comparable,11,5,3,Cluster Housing; Government Offices; Library; Lodging House; Mini-home Dwelling; Modular Dwelling; Multi-unit Dwelling; Recreation or Fitness Centre (indoors); Semi Detached Dwelling; Seniors Housing; Tourist Accommodation,Block Townhouse Dwelling; Community Care Facility; Nursing Home; Semi-Detached Dwelling; Stacked Townhouse Dwelling,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
NA -> [none],NA,Zoning Not Assigned,,,1,1,0,347609,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
OS -> [none],OS,Open Space,,,1,1,0,1053032,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
OS -> I,OS,Open Space,I,Institutional,1,1,0,413484,comparable,15,4,1,"Commercial Daycare Centre; Community Care Facility; Community Institutional; Cultural Establishment; Dormitory; Educational Institution (private); Educational Institution (public); Fire Station; Funeral Establishment; Government Offices; Hospital; Library; Medical, Health and Dental Office; Place of Worship; Police Station",Active Recreation; Community Gardens; Golf Course; Trail System,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
OS -> RN,OS,Open Space,RN,Neighbourhood,1,1,0,480517,comparable,4,5,0,Government Offices; Library; Semi Detached Dwelling; Single Detached Dwelling,Active Recreation; Cemetery; Community Gardens; Golf Course; Trail System,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
P -> PPS,P,Parking,PPS,Parks and Public Spaces,1,1,0,825927,comparable,10,2,0,Active Recreation; Cemetery; Community Gardens; Community Institutional; Cultural Establishment; Golf Course; Government Offices; Library; Recreation or Fitness Centre (indoors); Trail System ZONING & DEVELOPMENT BYL AW,Parking Lot; Parking Structure,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
PC -> DMS,PC,Park/Cultural,DMS,Downtown Main Street,3,2,0,340455;340463,comparable,18,4,3,"Commercial Daycare Centre; Community Care Facility; Convenience Store; Converted Dwelling; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Fire Station; Funeral Establishment; Government Offices; Grocery Store; Hostel; Hotel; Medical, Health and Dental Office; Multi-unit Dwelling; Office; Personal Service Shop",Community Building; Government Office; Place of Worship; Recreation or Fitness Center (indoors),data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
PC -> I,PC,Park/Cultural,I,Institutional,4,3,0,340422;340430;340448,comparable,12,3,4,"Cemetery; Commercial Daycare Centre; Community Care Facility; Dormitory; Educational Institution (private); Educational Institution (public); Fire Station; Funeral Establishment; Government Offices; Hospital; Medical, Health and Dental Office; Police Station",Community Building; Government Office; Recreation or Fitness Center (indoors),data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R1L -> [none],R1L,Single Detached Residential,,,13,13,0,1069343;145086;145144;145607;145888;145896;492280;586297;665687;818989;859926;928580;948182,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R1L -> GC,R1L,Single Detached Residential,GC,Growth Corridor,131,121,0,1014307;1046077;1068063;1086248;1087931;1104900;1140045;1141423;1170638;1170646;192104;192245;192302;192351;192377;192963;192971;192989;193003;193011;193029;193037;193045;193052;193060;193078;193086;373480;373654;384115;390963;391235;391243;391250;391268;391276;391284;391292;391300;391318;391326;391334;391342;391383;392019;392050;392068;392076;392084;392092;392100;392118;392902;392910;392928;392944;392951;392969;392977;392985;392993;393009;393017;393025;393033;395590;396184;396218;396234;396242;396259;396275;396283;396291;396309;396317;396325;396333;396341;396358;396366;396374;396382;396648;396655;396663;396671;396697;396705;396713;396721;396739;396747;396754;396762;396788;404533;415885;419622;425801;452854;464529;464594;486290;533075;544080;547901;604595;640573;654210;683391;691451;695023;709535;721555;737452;798470;845552;861955;926063;926071,comparable,49,2,0,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Convenience Store; Cultural Establishment; Distribution centre; Dormitory; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Equipment Sales, Rental Service; Fire Station; Funeral Establishment; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Hotel; Laundromat; Library; Light manufacturing; Medical, Health and Dental Office; Multi-unit Dwelling; Office; Outdoor Retail Display; Parking lot; Parking structure; Personal Service Shop; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Centre (indoors); Retail store; Retail Warehouse; Service Repair Establishment; Shopping Centre; Storage facility; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",Modular Dwelling; Single-detached Dwelling,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R1L -> PPS,R1L,Single Detached Residential,PPS,Parks and Public Spaces,3,3,0,1095355;388686;939819,comparable,10,2,0,Active Recreation; Cemetery; Community Gardens; Community Institutional; Cultural Establishment; Golf Course; Government Offices; Library; Recreation or Fitness Centre (indoors); Trail System ZONING & DEVELOPMENT BYL AW,Modular Dwelling; Single-detached Dwelling,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R1L -> UE,R1L,Single Detached Residential,UE,Urban Expansion,5,4,0,1064831;388728;703686;992909,comparable,0,2,0,,Modular Dwelling; Single-detached Dwelling,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R1S -> [none],R1S,Single Detached Residential,,,7,7,0,1010982;1134816;278481;278549;351296;353003;938787,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R1S -> GC,R1S,Single Detached Residential,GC,Growth Corridor,2,2,0,275248;373191,comparable,49,2,0,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Convenience Store; Cultural Establishment; Distribution centre; Dormitory; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Equipment Sales, Rental Service; Fire Station; Funeral Establishment; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Hotel; Laundromat; Library; Light manufacturing; Medical, Health and Dental Office; Multi-unit Dwelling; Office; Outdoor Retail Display; Parking lot; Parking structure; Personal Service Shop; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Centre (indoors); Retail store; Retail Warehouse; Service Repair Establishment; Shopping Centre; Storage facility; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",Modular Dwelling; Single-detached Dwelling,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R1S -> PPS,R1S,Single Detached Residential,PPS,Parks and Public Spaces,1,1,0,857441,comparable,10,2,0,Active Recreation; Cemetery; Community Gardens; Community Institutional; Cultural Establishment; Golf Course; Government Offices; Library; Recreation or Fitness Centre (indoors); Trail System ZONING & DEVELOPMENT BYL AW,Modular Dwelling; Single-detached Dwelling,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R2 -> [none],R2,Low Density Residential,,,3,3,0,356717;356725;758276,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R2 -> GC,R2,Low Density Residential,GC,Growth Corridor,139,118,0,1011543;1025618;1036599;1060441;1061944;1063569;1068535;1074624;1077775;1077791;1083187;1084359;1084581;1087584;1091297;1100874;1104009;1131218;1186105;191833;191841;192195;192211;192237;192286;367029;367417;367425;367433;367441;367458;367466;368340;369322;369330;369546;373159;373167;373449;373803;373811;374249;384149;385591;385666;385674;385682;385690;385708;385724;394148;394981;394999;395004;395012;395020;395038;395053;395087;395095;395111;395160;395178;395186;395194;395202;395210;395228;395251;395269;395277;395301;395319;395327;395335;395350;395368;397257;397265;397273;397299;397307;397315;397323;397331;397349;397356;397364;415703;419218;437715;442319;442327;452094;464073;546291;621409;659086;685990;691121;708594;752980;784249;784959;790170;816884;816892;825851;828111;829358;854646;888040;893685;902205;902957;910315;933317;993188,comparable,49,2,0,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Convenience Store; Cultural Establishment; Distribution centre; Dormitory; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Equipment Sales, Rental Service; Fire Station; Funeral Establishment; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Hotel; Laundromat; Library; Light manufacturing; Medical, Health and Dental Office; Multi-unit Dwelling; Office; Outdoor Retail Display; Parking lot; Parking structure; Personal Service Shop; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Centre (indoors); Retail store; Retail Warehouse; Service Repair Establishment; Shopping Centre; Storage facility; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",Duplex Dwelling; Semi-detached Dwelling,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R2 -> GN,R2,Low Density Residential,GN,Growth Node,1,1,0,373118,comparable,49,2,0,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Convenience Store; Cultural Establishment; Distribution centre; Dormitory; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Equipment Sales, Rental Service; Fire Station; Funeral Establishment; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Hotel; Laundromat; Library; Light manufacturing; Medical, Health and Dental Office; Multi-unit Dwelling; Office; Outdoor Retail Display; Parking lot; Parking structure; Personal Service Shop; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Centre (indoors); Retail store; Retail Warehouse; Service Repair Establishment; Shopping Centre; Storage facility; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",Duplex Dwelling; Semi-detached Dwelling,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R2S -> [none],R2S,Low Density Residential Single,,,14,13,0,1022870;1023829;1053008;1101559;1125368;1128172;1145663;1166081;1166230;1171271;926709;929174;939728,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R2S -> GC,R2S,Low Density Residential Single,GC,Growth Corridor,9,9,0,1014224;373258;373415;387944;387977;388041;388058;421396;934216,comparable,49,2,0,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Convenience Store; Cultural Establishment; Distribution centre; Dormitory; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Equipment Sales, Rental Service; Fire Station; Funeral Establishment; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Hotel; Laundromat; Library; Light manufacturing; Medical, Health and Dental Office; Multi-unit Dwelling; Office; Outdoor Retail Display; Parking lot; Parking structure; Personal Service Shop; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Centre (indoors); Retail store; Retail Warehouse; Service Repair Establishment; Shopping Centre; Storage facility; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",Duplex Dwelling; Semi-detached Dwelling,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R2S -> I,R2S,Low Density Residential Single,I,Institutional,5,5,0,390336;390369;390377;390419;658476,comparable,16,2,0,"Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Cultural Establishment; Dormitory; Educational Institution (private); Educational Institution (public); Fire Station; Funeral Establishment; Government Offices; Hospital; Library; Medical, Health and Dental Office; Place of Worship; Police Station",Duplex Dwelling; Semi-detached Dwelling,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R2S -> UE,R2S,Low Density Residential Single,UE,Urban Expansion,1,1,0,410308,comparable,0,2,0,,Duplex Dwelling; Semi-detached Dwelling,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R3 -> [none],R3,Medium Density Residential,,,5,5,0,353565;354282;362087;364059;587493,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R3 -> GC,R3,Medium Density Residential,GC,Growth Corridor,275,107,0,1098391;191783;278184;278192;278341;355875;355883;355891;355909;358796;358804;358812;358820;358838;358853;358861;358879;360099;360107;360115;360123;360545;360552;360560;360578;362079;362087;362640;362673;363358;363374;363382;364000;364018;364026;364158;364166;364174;364182;364364;364372;364380;364679;364687;364695;369165;372318;372391;372409;372417;372425;372433;372573;372581;372599;372920;372946;372953;372961;372979;373001;373019;374132;374157;385732;385740;385757;385773;386441;395046;395236;395244;397018;397141;397208;397224;397232;463869;511915;513275;515858;519827;520874;563932;645879;645887;676452;679274;683169;684233;690677;690883;690958;692749;704262;704676;713198;715334;852608;862672;862680;897843;899377;900233;900969;905125;925032,comparable,46,8,3,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Cemetery; Convenience Store; Cultural Establishment; Distribution centre; Dormitory; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Equipment Sales, Rental Service; Fire Station; Funeral Establishment; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Hotel; Laundromat; Library; Light manufacturing; Medical, Health and Dental Office; Multi-unit Dwelling; Office; Outdoor Retail Display; Parking lot; Parking structure; Personal Service Shop; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Centre (indoors); Retail store; Retail Warehouse; Service Repair Establishment; Shopping Centre; Storage facility; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",Apartment Dwelling; Block Townhouse Dwelling; Community Building; Converted Dwelling; Lodging House Limited; Nursing Home; Stacked Townhouse Dwelling; Townhouse Dwelling,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R3T -> GC,R3T,Medium Density Residential Townhouse,GC,Growth Corridor,12,1,0,275156,comparable,46,7,3,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Cemetery; Convenience Store; Cultural Establishment; Distribution centre; Dormitory; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Equipment Sales, Rental Service; Fire Station; Funeral Establishment; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Hotel; Laundromat; Library; Light manufacturing; Medical, Health and Dental Office; Multi-unit Dwelling; Office; Outdoor Retail Display; Parking lot; Parking structure; Personal Service Shop; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Centre (indoors); Retail store; Retail Warehouse; Service Repair Establishment; Shopping Centre; Storage facility; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",Block Townhouse Dwelling; Community Building; Converted Dwelling; Lodging House Limited; Nursing Home; Stacked Townhouse Dwelling; Townhouse Dwelling,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
R4 -> GC,R4,Apartment Residential,GC,Growth Corridor,4,4,0,275164;275180;352815;394965,comparable,49,0,0,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Convenience Store; Cultural Establishment; Distribution centre; Dormitory; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Equipment Sales, Rental Service; Fire Station; Funeral Establishment; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Hotel; Laundromat; Library; Light manufacturing; Medical, Health and Dental Office; Multi-unit Dwelling; Office; Outdoor Retail Display; Parking lot; Parking structure; Personal Service Shop; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Centre (indoors); Retail store; Retail Warehouse; Service Repair Establishment; Shopping Centre; Storage facility; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
WF -> I,WF,Waterfront,I,Institutional,3,3,0,335018;335463;640870,comparable,16,2,0,"Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Cultural Establishment; Dormitory; Educational Institution (private); Educational Institution (public); Fire Station; Funeral Establishment; Government Offices; Hospital; Library; Medical, Health and Dental Office; Place of Worship; Police Station",Limited Car Rental Operation; Marina,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
WF -> PPS,WF,Waterfront,PPS,Parks and Public Spaces,2,1,0,897918,comparable,10,2,0,Active Recreation; Cemetery; Community Gardens; Community Institutional; Cultural Establishment; Golf Course; Government Offices; Library; Recreation or Fitness Centre (indoors); Trail System ZONING & DEVELOPMENT BYL AW,Limited Car Rental Operation; Marina,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
WLC -> [none],WLC,Water Lot Commercial,,,1,1,0,335307,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
