pair_key,original_zone,original_zone_name,updated_zone,updated_zone_name,affected_property_count,distinct_pid_count,missing_pid_record_count,distinct_pids,use_comparison_status,added_permitted_use_count,removed_permitted_use_count,shared_permitted_use_count,added_permitted_uses,removed_permitted_uses,source_original,source_updated_draft
C3 -> GN,C3,Shopping Centre Commercial,GN,Growth Node,37,14,0,1040583;1050970;1054972;372284;372300;373050;387704;387712;387761;387779;387811;396473;397430;721506,comparable,48,3,1,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Cemetery; Commercial Daycare Centre; Community Institutional; Convenience Store; Cultural Establishment; Distribution centre; Dormitory; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Equipment Sales, Rental Service; Fire Station; Funeral Establishment; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Hotel; Laundromat; Library; Light manufacturing; Medical, Health and Dental Office; Multi-unit Dwelling; Office; Outdoor Retail Display; Parking lot; Parking structure; Personal Service Shop; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Centre (indoors); Retail store; Retail Warehouse; Service Repair Establishment; Shopping Centre; Storage facility; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",Duplex Dwellings; Nursing Home; Semi-detached Dwellings,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
C3 -> I,C3,Shopping Centre Commercial,I,Institutional,1,1,0,600908,comparable,15,3,1,"Cemetery; Commercial Daycare Centre; Community Institutional; Cultural Establishment; Dormitory; Educational Institution (private); Educational Institution (public); Fire Station; Funeral Establishment; Government Offices; Hospital; Library; Medical, Health and Dental Office; Place of Worship; Police Station",Duplex Dwellings; Nursing Home; Semi-detached Dwellings,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
C3 -> RN,C3,Shopping Centre Commercial,RN,Neighbourhood,60,1,0,388082,comparable,4,4,0,Government Offices; Library; Semi Detached Dwelling; Single Detached Dwelling,Community Care Facility; Duplex Dwellings; Nursing Home; Semi-detached Dwellings,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
CDA -> BP,CDA,Comprehensive Development Area,BP,Business Park,2,2,0,1081801;901025,comparable,39,0,0,"Assembly facility; Automobile Body Shop; Automobile Sales and Services; Club; Commercial Daycare Centre; Cultural Establishment; Distribution centre; Educational Institution (private); Educational Institution (public); Equipment Sales, Rental Service; Fire Station; Garden Centre; Greenhouse (private industrial); Hostel; Hotel; Kennel; Light manufacturing; Manufacturing, Light; Marijuana Production Facility; Medical, Health and Dental Office; Office; Outdoor Retail Display; Outdoor Storage; Parking lot; Parking structure; Personal Service Shop; Place of Worship; Police Station; Recreation or Fitness Centre (indoors); Research and Development Facilities; Retail store; Retail Warehouse; Service Repair Establishment; Storage facility; Transitional Housing; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
CDA -> GC,CDA,Comprehensive Development Area,GC,Growth Corridor,2,2,0,1075993;421669,comparable,49,0,0,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Convenience Store; Cultural Establishment; Distribution centre; Dormitory; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Equipment Sales, Rental Service; Fire Station; Funeral Establishment; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Hotel; Laundromat; Library; Light manufacturing; Medical, Health and Dental Office; Multi-unit Dwelling; Office; Outdoor Retail Display; Parking lot; Parking structure; Personal Service Shop; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Centre (indoors); Retail store; Retail Warehouse; Service Repair Establishment; Shopping Centre; Storage facility; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
CDA -> GN,CDA,Comprehensive Development Area,GN,Growth Node,3,3,0,1076694;1076728;387621,comparable,49,0,0,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Convenience Store; Cultural Establishment; Distribution centre; Dormitory; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Equipment Sales, Rental Service; Fire Station; Funeral Establishment; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Hotel; Laundromat; Library; Light manufacturing; Medical, Health and Dental Office; Multi-unit Dwelling; Office; Outdoor Retail Display; Parking lot; Parking structure; Personal Service Shop; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Centre (indoors); Retail store; Retail Warehouse; Service Repair Establishment; Shopping Centre; Storage facility; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
CDA -> I,CDA,Comprehensive Development Area,I,Institutional,32,7,0,1076678;1076686;279224;372896;372904;390443;425892,comparable,16,0,0,"Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Cultural Establishment; Dormitory; Educational Institution (private); Educational Institution (public); Fire Station; Funeral Establishment; Government Offices; Hospital; Library; Medical, Health and Dental Office; Place of Worship; Police Station",,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
CDA -> PPS,CDA,Comprehensive Development Area,PPS,Parks and Public Spaces,2,2,0,336537;825943,comparable,10,0,0,Active Recreation; Cemetery; Community Gardens; Community Institutional; Cultural Establishment; Golf Course; Government Offices; Library; Recreation or Fitness Centre (indoors); Trail System ZONING & DEVELOPMENT BYL AW,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
CDA -> RM,CDA,Comprehensive Development Area,RM,Medium Density Residential,74,4,0,1076652;1076678;1076686;390260,comparable,14,0,0,Cluster Housing; Duplex Dwelling; Government Offices; Library; Lodging House; Mini-home Dwelling; Modular Dwelling; Multi-unit Dwelling; Recreation or Fitness Centre (indoors); Semi Detached Dwelling; Seniors Housing; Single Detached Dwelling; Tourist Accommodation; Townhouse Dwelling,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
CDA -> RN,CDA,Comprehensive Development Area,RN,Neighbourhood,59,22,0,1048685;1048693;1048701;1048719;1064476;1092188;1119726;1119734;1132984;1134006;1136233;1145515;1151125;1154947;1159490;390625;390633;390674;390682;390708;390757;492405,comparable,4,0,0,Government Offices; Library; Semi Detached Dwelling; Single Detached Dwelling,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
DMU -> RM,DMU,Downtown Mixed Use,RM,Medium Density Residential,30,5,0,355941;357731;357749;361709;361725,comparable,14,13,0,Cluster Housing; Duplex Dwelling; Government Offices; Library; Lodging House; Mini-home Dwelling; Modular Dwelling; Multi-unit Dwelling; Recreation or Fitness Centre (indoors); Semi Detached Dwelling; Seniors Housing; Single Detached Dwelling; Tourist Accommodation; Townhouse Dwelling,Club; Educational Institution; Entertainment Establishment; Fire Station; Grocery Store; Hostel; Hotel; Parking Lot; Police Station; Service Repair Establishment; Shopping Center; Theatre; Veterinary Services,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
DMUN -> [none],DMUN,Downtown Mixed Use Neighbourhood,,,2,2,0,335828;336958,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
DMUN -> I,DMUN,Downtown Mixed Use Neighbourhood,I,Institutional,1,1,0,343558,comparable,14,5,2,Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Cultural Establishment; Dormitory; Educational Institution (private); Educational Institution (public); Fire Station; Government Offices; Hospital; Library; Place of Worship; Police Station,Eating and Drinking Establishment; Office; Parking Structure; Personal Service Shop; Retail Store,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
DN -> [none],DN,Downtown Narrow,,,1,1,0,339416,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
DN -> I,DN,Downtown Narrow,I,Institutional,4,1,0,343913,comparable,16,1,0,"Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Cultural Establishment; Dormitory; Educational Institution (private); Educational Institution (public); Fire Station; Funeral Establishment; Government Offices; Hospital; Library; Medical, Health and Dental Office; Place of Worship; Police Station",Convenience Store,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
FDA -> RN,FDA,Future Development,RN,Neighbourhood,1,1,0,720177,comparable,4,3,0,Government Offices; Library; Semi Detached Dwelling; Single Detached Dwelling,Agriculture and Resource Land Uses; Forestry Related; One Single-detached Dwelling per Lot with serviced Lot Frontage,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
I -> GN,I,Institutional,GN,Growth Node,1,1,0,387662,comparable,33,7,16,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Convenience Store; Distribution centre; Eating and Drinking Establishment; Entertainment Establishment; Equipment Sales, Rental Service; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hostel; Hotel; Laundromat; Light manufacturing; Multi-unit Dwelling; Office; Outdoor Retail Display; Parking lot; Parking structure; Personal Service Shop; Recreation or Fitness Centre (indoors); Retail store; Retail Warehouse; Service Repair Establishment; Shopping Centre; Storage facility; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",Club; Community Building; Government Office; Lodging House; Nursing Home; Recreation or Fitness Center (indoors); Transitional Housing Facility,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
I -> PPS,I,Institutional,PPS,Parks and Public Spaces,1,1,0,363366,comparable,6,19,4,Active Recreation; Community Gardens; Golf Course; Government Offices; Recreation or Fitness Centre (indoors); Trail System ZONING & DEVELOPMENT BYL AW,"Club; Commercial Daycare Centre; Community Building; Community Care Facility; Dormitory; Educational Institution (private); Educational Institution (public); Fire Station; Funeral Establishment; Government Office; Hospital; Lodging House; Medical, Health and Dental Office; Nursing Home; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Center (indoors); Transitional Housing Facility",data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
I -> RM,I,Institutional,RM,Medium Density Residential,1,1,0,442384,comparable,12,21,2,Cluster Housing; Duplex Dwelling; Government Offices; Mini-home Dwelling; Modular Dwelling; Multi-unit Dwelling; Recreation or Fitness Centre (indoors); Semi Detached Dwelling; Seniors Housing; Single Detached Dwelling; Tourist Accommodation; Townhouse Dwelling,"Cemetery; Club; Commercial Daycare Centre; Community Building; Community Care Facility; Community Institutional; Cultural Establishment; Dormitory; Educational Institution (private); Educational Institution (public); Fire Station; Funeral Establishment; Government Office; Hospital; Medical, Health and Dental Office; Nursing Home; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Center (indoors); Transitional Housing Facility",data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
I -> RN,I,Institutional,RN,Neighbourhood,18,15,0,1000744;1024116;1039262;1058262;1114248;275982;355222;363556;369629;388736;393389;416271;573642;578732;802330,comparable,3,22,1,Government Offices; Semi Detached Dwelling; Single Detached Dwelling,"Cemetery; Club; Commercial Daycare Centre; Community Building; Community Care Facility; Community Institutional; Cultural Establishment; Dormitory; Educational Institution (private); Educational Institution (public); Fire Station; Funeral Establishment; Government Office; Hospital; Lodging House; Medical, Health and Dental Office; Nursing Home; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Center (indoors); Transitional Housing Facility",data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
M1 -> [none],M1,Light Industrial,,,1,1,0,560284,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
