page_number,printed_page_label,section,title_guess,content_type,text_extraction_method,embedded_line_count,table_candidate,table_family,column_pattern,entities,periods,amount_line_count,numeric_token_count,repeated_header,continuation_candidate,continuation_group,confidence,review_reasons
81,81,Operating Budget,Charlottetown Police Services,text_or_divider,embedded_text,28,False,,,[],"[""2025""]",0,2,False,False,,medium,[]
82,82,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,36,True,operating_statement,"item | budget | forecast (2025/2026, 2026/2027)","[""City of Charlottetown""]","[""2025/2026"", ""2026/2027""]",28,93,False,False,,medium,[]
83,83,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,50,True,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",8,31,True,False,continuation-014,high,[]
84,84,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,43,True,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",9,28,True,True,continuation-014,high,"[""adjacent same-family page; continuation requires visual review""]"
85,85,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,37,True,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",9,32,True,True,continuation-014,high,"[""adjacent same-family page; continuation requires visual review""]"
86,86,Operating Budget,Public Works,text_or_divider,embedded_text,28,False,,,[],[],0,4,False,False,,medium,[]
87,87,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,56,True,operating_statement,"item | budget | forecast (2025/2026, 2026/ 2027, 2026/2027)","[""City of Charlottetown""]","[""2025/2026"", ""2026/ 2027"", ""2026/2027""]",40,129,False,False,,medium,[]
88,88,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,39,True,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",6,25,True,False,continuation-015,high,[]
89,89,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,42,True,operating_detail,item | budget (2026/2027),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2026/2027""]",10,14,True,True,continuation-015,high,"[""adjacent same-family page; continuation requires visual review""]"
90,90,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,45,True,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",7,10,True,True,continuation-015,high,"[""adjacent same-family page; continuation requires visual review""]"
91,91,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,37,True,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",9,12,True,True,continuation-015,high,"[""adjacent same-family page; continuation requires visual review""]"
92,92,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,12,True,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",3,6,True,True,continuation-015,high,"[""adjacent same-family page; continuation requires visual review""]"
