page_key,page_number,printed_page_label,content_type,disposition,section,title_guess,statement_class,table_candidate,table_family,text_extraction_method,embedded_character_count,ocr_character_count,ocr_word_count,ocr_mean_confidence,ocr_rotation_degrees,amount_token_count,numeric_line_count,periods,continuation_candidate,continuation_of_page_key,confidence,review_reasons
ctown_fs_ws_2024_03_31_audited_p001,1,,cover,administrative_front_matter,Front matter,CHARLOTTETOWN WATER AND SEWER CORPORATION,,False,,ocr_full_page,0,85,11,95.74,0,0,1,"[""2024""]",False,,high,[]
ctown_fs_ws_2024_03_31_audited_p002,2,,index,administrative_front_matter,Front matter,CONTENTS,,False,,ocr_full_page,0,306,45,96.01,0,0,2,[],False,,high,[]
ctown_fs_ws_2024_03_31_audited_p003,3,,management_responsibility,administrative_front_matter,Front matter,MANAGEMENT'S RESPONSIBILITY FOR THE FINANCIAL STATEMENTS,,False,,ocr_full_page,0,1938,270,96.5,0,0,1,"[""2024""]",False,,medium,[]
ctown_fs_ws_2024_03_31_audited_p004,4,,auditor_report,administrative_front_matter,Auditor report,INDEPENDENT AUDITOR'S REPORT,,False,,ocr_full_page,0,3859,576,96.13,0,0,2,"[""2024""]",False,,medium,[]
ctown_fs_ws_2024_03_31_audited_p005,5,,auditor_report,administrative_front_matter,Auditor report,° Obtain an understanding of internal control relevant to the audit in order to design audit procedures that,,False,,ocr_full_page,0,1672,253,95.43,0,0,1,"[""2024""]",False,,medium,[]
ctown_fs_ws_2024_03_31_audited_p006,6,,financial_statement,financial_table_candidate,Primary statements,CHARLOTTETOWN WATER AND SEWER CORPORATION,financial_position,True,financial_position,ocr_full_page,0,1241,174,91.85,0,35,22,"[""2023"", ""2024""]",False,,high,[]
ctown_fs_ws_2024_03_31_audited_p007,7,2,financial_statement,financial_table_candidate,Primary statements,CHARLOTTETOWN WATER AND SEWER CORPORATION,operations,True,operations,ocr_full_page,0,1711,227,94.22,0,78,33,"[""2023"", ""2024""]",False,,high,[]
ctown_fs_ws_2024_03_31_audited_p008,8,,financial_statement,financial_table_candidate,Primary statements,CHARLOTTETOWN WATER AND SEWER CORPORATION,changes_in_net_debt,True,changes_in_net_debt,ocr_full_page,0,756,118,94.16,0,23,12,"[""2023"", ""2024""]",False,,high,[]
ctown_fs_ws_2024_03_31_audited_p009,9,,financial_statement,financial_table_candidate,Primary statements,ne.,cash_flow,True,cash_flow,ocr_full_page,0,1257,177,93.89,0,37,22,"[""2023"", ""2024""]",False,,high,[]
ctown_fs_ws_2024_03_31_audited_p010,10,,notes,financial_note_narrative,Notes,eae.),,False,,ocr_full_page,0,2455,359,96.04,0,0,1,"[""2024""]",False,,medium,[]
ctown_fs_ws_2024_03_31_audited_p011,11,,notes,financial_table_candidate,Notes,ee ere,,True,note_disclosure_table,ocr_full_page,0,2698,412,96.06,0,1,8,"[""2024""]",False,,medium,[]
ctown_fs_ws_2024_03_31_audited_p012,12,,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION,,True,note_disclosure_table,ocr_full_page,0,2732,433,95.59,0,0,11,"[""2024""]",True,ctown_fs_ws_2024_03_31_audited_p011,medium,[]
ctown_fs_ws_2024_03_31_audited_p013,13,,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION,,True,note_disclosure_table,ocr_full_page,0,2313,328,94.27,0,25,18,"[""2023"", ""2024""]",True,ctown_fs_ws_2024_03_31_audited_p012,medium,[]
ctown_fs_ws_2024_03_31_audited_p014,14,9,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION,,True,note_disclosure_table,ocr_full_page,0,2655,367,95.17,0,10,21,"[""2000"", ""2022"", ""2023"", ""2024"", ""2025""]",True,ctown_fs_ws_2024_03_31_audited_p013,medium,[]
ctown_fs_ws_2024_03_31_audited_p015,15,,notes,financial_table_candidate,Notes,———— eee,,True,note_disclosure_table,ocr_full_page,0,1555,221,93.23,0,47,26,"[""2023"", ""2024""]",True,ctown_fs_ws_2024_03_31_audited_p014,medium,[]
ctown_fs_ws_2024_03_31_audited_p016,16,,notes,financial_table_candidate,Notes,———,,True,note_disclosure_table,ocr_full_page,0,1926,288,95.19,0,27,23,"[""2023"", ""2024"", ""2030"", ""2031"", ""2033"", ""2038"", ""2045""]",True,ctown_fs_ws_2024_03_31_audited_p015,medium,[]
ctown_fs_ws_2024_03_31_audited_p017,17,,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION,,True,note_disclosure_table,ocr_full_page,0,1741,266,95.55,0,12,17,"[""2016"", ""2023"", ""2024"", ""2025"", ""2026"", ""2027"", ""2028"", ""2029"", ""2054""]",True,ctown_fs_ws_2024_03_31_audited_p016,medium,[]
ctown_fs_ws_2024_03_31_audited_p018,18,13,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION,,True,budget_reconciliation_note,ocr_full_page,0,1607,245,95.78,0,12,20,"[""2016"", ""2023"", ""2024""]",False,,medium,[]
ctown_fs_ws_2024_03_31_audited_p019,19,14,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION,,True,note_disclosure_table,ocr_full_page,0,2375,361,96.06,0,18,15,"[""2023"", ""2024""]",False,,medium,[]
ctown_fs_ws_2024_03_31_audited_p020,20,,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION,,True,note_disclosure_table,ocr_full_page,0,2183,336,95.73,0,4,8,"[""2023"", ""2024""]",True,ctown_fs_ws_2024_03_31_audited_p019,medium,[]
ctown_fs_ws_2024_03_31_audited_p021,21,16,schedule,financial_table_candidate,Schedules,CHARLOTTETOWN WATER AND SEWER CORPORATION,,True,tangible_capital_assets_schedule,ocr_full_page,0,2048,311,88.31,270,123,25,"[""2023"", ""2024""]",False,,medium,[]
