page_number,printed_page_label,section,title_guess,content_type,text_extraction_method,embedded_line_count,table_candidate,table_family,column_pattern,entities,periods,amount_line_count,numeric_token_count,repeated_header,continuation_candidate,continuation_group,confidence,review_reasons
41,41,Operating Budget,2024/2025 Operating Budget,table_or_profile,embedded_text,52,True,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",41,131,False,False,,medium,[]
42,42,Operating Budget,Water and Sewer Utility,text_or_divider,embedded_text,15,False,,,"[""Charlottetown Water and Sewer""]",[],0,6,False,False,,medium,[]
43,43,Operating Budget,2024/2025 Operating Budget,table_or_profile,embedded_text,51,True,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",42,130,True,False,,high,[]
44,44,Capital Budget,Charlottetown Water and Sewer,text_or_divider,embedded_text,5,False,,,"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2024"", ""2024/2025""]",0,5,False,False,,medium,[]
45,45,Capital Budget,City of Charlottetown and Charlottetown Water & Sewer,table_or_profile,embedded_text,33,True,capital_budget_schedule,"item | budget (2023/2024, 2024/2025)","[""Bell Aliant Centre"", ""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",24,54,False,False,continuation-004,medium,[]
46,46,Capital Budget,2024/2025 Capital Budget,table_or_profile,embedded_text,24,True,capital_budget_schedule,item | budget (2024/2025),"[""City of Charlottetown""]","[""2024/2025""]",18,21,False,True,continuation-004,medium,"[""adjacent same-family page; continuation requires visual review""]"
47,,Capital Budget,Public Transit Facility,table_or_profile,embedded_text,32,True,capital_project_profile,profile field | narrative value,[],"[""2024"", ""2024/2025"", ""2025"", ""2025/2026"", ""2026"", ""2026/2027"", ""2027/2028"", ""2028/2029""]",6,40,False,False,,medium,[]
48,48,Capital Budget,2024/2025 Capital Budget,table_or_profile,embedded_text,16,True,capital_budget_schedule,item | budget (2024/2025),"[""City of Charlottetown""]","[""2024/2025""]",12,15,False,False,continuation-005,medium,[]
49,49,Capital Budget,2024/2025 Capital Budget,table_or_profile,embedded_text,26,True,capital_budget_schedule,item | budget (2024/2025),"[""Bell Aliant Centre"", ""City of Charlottetown""]","[""2024/2025""]",19,29,False,True,continuation-005,medium,"[""adjacent same-family page; continuation requires visual review""]"
50,50,Capital Budget,Replacement Fast Rescue,table_or_profile,embedded_text,23,True,capital_project_profile,profile field | narrative value,[],"[""2024""]",2,7,False,False,continuation-006,medium,[]
51,51,Capital Budget,Self Contained Breathing,table_or_profile,embedded_text,26,True,capital_project_profile,profile field | narrative value,[],"[""2024"", ""2024/2025"", ""2025/2026"", ""2026/2027"", ""2027/2028"", ""2028/2029""]",4,27,False,True,continuation-006,medium,"[""adjacent same-family page; continuation requires visual review""]"
52,52,Capital Budget,2024/2025 Capital Budget,table_or_profile,embedded_text,31,True,capital_budget_schedule,item | budget (2024/2025),"[""City of Charlottetown""]","[""2024/2025""]",22,26,False,False,continuation-007,medium,[]
53,53,Capital Budget,City of Charlottetown and Charlottetown Water & Sewer,table_or_profile,embedded_text,19,True,capital_budget_schedule,item | budget (2024/2025),"[""City of Charlottetown""]","[""2024/2025""]",13,18,False,True,continuation-007,medium,"[""adjacent same-family page; continuation requires visual review""]"
54,54,Capital Budget,Simmons Sports Centre Replacement,table_or_profile,embedded_text,29,True,capital_project_profile,profile field | narrative value,[],"[""2024""]",3,18,False,False,continuation-008,medium,[]
55,55,Capital Budget,Playground Equipment/,table_or_profile,embedded_text,26,True,capital_project_profile,profile field | narrative value,[],"[""2024""]",2,8,False,True,continuation-008,medium,"[""adjacent same-family page; continuation requires visual review""]"
56,56,Capital Budget,Victoria Park Shoreline Protection,table_or_profile,embedded_text,23,True,capital_project_profile,profile field | narrative value,[],"[""2024""]",2,8,False,True,continuation-008,medium,"[""adjacent same-family page; continuation requires visual review""]"
57,57,Capital Budget,Victoria Park Tennis,table_or_profile,embedded_text,21,True,capital_project_profile,profile field | narrative value,[],"[""2024""]",3,10,False,True,continuation-008,medium,"[""adjacent same-family page; continuation requires visual review""]"
58,58,Capital Budget,East Royalty Park Old Road,table_or_profile,embedded_text,26,True,capital_project_profile,profile field | narrative value,[],"[""2024""]",3,13,False,True,continuation-008,medium,"[""adjacent same-family page; continuation requires visual review""]"
59,59,Capital Budget,Charlottetown Yacht Club,table_or_profile,embedded_text,25,True,capital_project_profile,profile field | narrative value,[],"[""2024""]",2,7,False,True,continuation-008,medium,"[""adjacent same-family page; continuation requires visual review""]"
60,60,Capital Budget,2024/2025 Capital Budget,table_or_profile,embedded_text,22,True,capital_budget_schedule,item | budget (2024/2025),"[""City of Charlottetown""]","[""2024/2025""]",16,21,False,False,,medium,[]
61,61,Capital Budget,Critical Incident Command,table_or_profile,embedded_text,32,True,capital_project_profile,profile field | narrative value,[],"[""2024""]",2,8,False,False,,medium,[]
62,62,Capital Budget,=~,table_or_profile,ocr_fallback,1,True,capital_budget_schedule,"item | budget (2024, 2024/2025)","[""City of Charlottetown""]","[""2024"", ""2024/2025""]",32,39,False,False,continuation-009,medium,[]
63,63,Capital Budget,amet,table_or_profile,ocr_fallback,1,True,capital_budget_schedule,item | budget (2024/2025),"[""City of Charlottetown""]","[""2024/2025""]",26,31,False,True,continuation-009,medium,"[""adjacent same-family page; continuation requires visual review""]"
64,64,Capital Budget,Hillsborough Park Community,table_or_profile,embedded_text,23,True,capital_project_profile,profile field | narrative value,[],"[""2024""]",2,7,False,False,continuation-010,medium,[]
65,65,Capital Budget,Pownal Parkade Restoration,table_or_profile,embedded_text,26,True,capital_project_profile,profile field | narrative value,[],"[""2024"", ""2024/2025"", ""2025/2026"", ""2026/2027"", ""2027/2028"", ""2028/2029""]",4,21,False,True,continuation-010,medium,"[""adjacent same-family page; continuation requires visual review""]"
66,66,Capital Budget,Eastern Gateway Masterplan,table_or_profile,embedded_text,27,True,capital_project_profile,profile field | narrative value,[],"[""2024"", ""2025""]",3,12,False,True,continuation-010,medium,"[""adjacent same-family page; continuation requires visual review""]"
67,67,Capital Budget,Seaview Boulevard Rehabilitation,table_or_profile,embedded_text,23,True,capital_project_profile,profile field | narrative value,[],"[""2024""]",2,7,False,True,continuation-010,medium,"[""adjacent same-family page; continuation requires visual review""]"
68,68,Capital Budget,Water Street Rehabilitation,table_or_profile,embedded_text,23,True,capital_project_profile,profile field | narrative value,[],"[""2024""]",2,7,False,True,continuation-010,medium,"[""adjacent same-family page; continuation requires visual review""]"
69,69,Capital Budget,Storm Water Modelling,table_or_profile,embedded_text,23,True,capital_project_profile,profile field | narrative value,[],"[""2024""]",3,9,False,True,continuation-010,medium,"[""adjacent same-family page; continuation requires visual review""]"
70,70,Capital Budget,2024/2025 Capital Budget,table_or_profile,embedded_text,15,True,capital_budget_schedule,item | budget (2024/2025),"[""Bell Aliant Centre"", ""City of Charlottetown""]","[""2024/2025""]",11,15,False,False,continuation-011,medium,[]
71,71,Capital Budget,2024/2025 Capital Budget,table_or_profile,embedded_text,8,True,capital_budget_schedule,item | budget (2024/2025),"[""Eastlink Centre"", ""City of Charlottetown""]","[""2024/2025""]",4,7,False,True,continuation-011,medium,"[""adjacent same-family page; continuation requires visual review""]"
72,72,Capital Budget,Charlottetown Water & Sewer,table_or_profile,embedded_text,35,True,capital_budget_schedule,item | budget (2024/2025),"[""Charlottetown Water and Sewer""]","[""2024/2025""]",28,31,False,True,continuation-011,medium,"[""adjacent same-family page; continuation requires visual review""]"
73,73,Capital Budget,Eastern Gateway Water,table_or_profile,embedded_text,21,True,capital_project_profile,profile field | narrative value,"[""Charlottetown Water and Sewer""]","[""2024""]",3,14,False,False,continuation-012,medium,[]
74,74,Capital Budget,Seaview Boulevard Water,table_or_profile,embedded_text,24,True,capital_project_profile,profile field | narrative value,"[""Charlottetown Water and Sewer""]","[""2024""]",2,9,False,True,continuation-012,medium,"[""adjacent same-family page; continuation requires visual review""]"
75,75,Capital Budget,Wastewater Treatment Plant,table_or_profile,embedded_text,23,True,capital_project_profile,profile field | narrative value,"[""Charlottetown Water and Sewer""]","[""2024""]",3,11,False,True,continuation-012,medium,"[""adjacent same-family page; continuation requires visual review""]"
76,76,Capital Budget,Wellfield Protection,table_or_profile,embedded_text,19,True,capital_project_profile,profile field | narrative value,"[""Charlottetown Water and Sewer""]","[""2024""]",2,7,False,True,continuation-012,medium,"[""adjacent same-family page; continuation requires visual review""]"
77,77,Operating Budget,Charlottetown Civic Centre,text_or_divider,embedded_text,7,False,,,"[""Bell Aliant Centre"", ""Eastlink Centre""]","[""2024"", ""2024/2025""]",0,5,False,False,,medium,[]
78,78,Operating Budget,Bell Aliant Centre,table_or_profile,ocr_fallback,1,True,facility_operating_statement,"item | budget | variance (2023-24, 2024-25, 2024/25)","[""Bell Aliant Centre"", ""City of Charlottetown""]","[""2023-24"", ""2024-25"", ""2024/25""]",34,108,True,False,continuation-013,high,[]
79,79,Operating Budget,Bell Aliant Centre,table_or_profile,ocr_fallback,1,True,facility_operating_statement,"item | budget | variance (2023-24, 2024-25)","[""Bell Aliant Centre""]","[""2023-24"", ""2024-25""]",15,53,False,True,continuation-013,medium,"[""adjacent same-family page; continuation requires visual review""]"
80,80,Operating Budget,Bell Aliant Centre,table_or_profile,ocr_fallback,1,True,facility_operating_statement,"item | budget | variance (2023-24, 2024-25)","[""Bell Aliant Centre""]","[""2023-24"", ""2024-25""]",21,70,False,True,continuation-013,medium,"[""adjacent same-family page; continuation requires visual review""]"
81,81,Operating Budget,Bell Aliant Centre,table_or_profile,ocr_fallback,1,True,facility_operating_statement,"item | budget | variance (2023-24, 2024-25)","[""Bell Aliant Centre""]","[""2023-24"", ""2024-25""]",18,61,False,True,continuation-013,medium,"[""adjacent same-family page; continuation requires visual review""]"
82,82,Operating Budget,Charlottetown Civic Centre Management Inc.,table_or_profile,ocr_fallback,1,True,operating_statement,"item | budget (2023, 2024, 2024 - 2025, 2025)",[],"[""2023"", ""2024"", ""2024 - 2025"", ""2025""]",14,47,False,False,,medium,[]
83,83,Operating Budget,"Basketball TC Rental 0,00",table_or_profile,ocr_fallback,1,True,operating_statement,item | amount (unlabeled period),[],[],15,41,True,False,,high,[]
84,84,Operating Budget,"Phone charges -Lg Ev 0,00",table_or_profile,ocr_fallback,1,True,operating_statement,item | amount (unlabeled period),[],[],17,41,True,False,continuation-014,high,[]
85,85,Operating Budget,Business Development,table_or_profile,ocr_fallback,1,True,operating_statement,item | amount (unlabeled period),[],[],22,42,False,True,continuation-014,medium,"[""adjacent same-family page; continuation requires visual review""]"
86,86,Operating Budget,"Compressors 2,500.00",table_or_profile,ocr_fallback,1,True,operating_statement,item | amount (unlabeled period),[],[],13,39,False,True,continuation-014,medium,"[""adjacent same-family page; continuation requires visual review""]"
87,87,Operating Budget,NET INCOME 129.00,text_or_divider,ocr_fallback,1,False,,,[],"[""2024""]",0,5,False,False,,medium,[]
88,88,Operating Budget,902-629-4004,text_or_divider,embedded_text,5,False,,,[],[],0,5,False,False,,medium,[]
