page_number,printed_page_label,section,title_guess,content_type,text_extraction_method,embedded_line_count,table_candidate,table_family,column_pattern,entities,periods,amount_line_count,numeric_token_count,repeated_header,continuation_candidate,continuation_group,confidence,review_reasons
1,1,Front matter,FINANCIAL,text_or_divider,embedded_text,6,False,,,[],"[""2024/ 2025""]",0,3,False,False,,medium,[]
2,2,Front matter,Front cover and Land Acknowledgement photos courtesy of Odyssey Virtual,text_or_divider,embedded_text,2,False,,,[],[],0,1,False,False,,medium,[]
3,3,Front matter,About the City of Charlottetown,text_or_divider,embedded_text,28,False,,,"[""City of Charlottetown""]",[],1,3,False,False,,medium,[]
4,4,Front matter,"Introduction from the Chair of the Finance,",text_or_divider,embedded_text,29,False,,,"[""Charlottetown Water and Sewer""]",[],0,1,False,False,,medium,[]
5,5,Front matter,Mayor and Council,text_or_divider,embedded_text,8,False,,,[],[],0,11,False,False,,medium,[]
6,6,Strategic Plan,City of Charlottetown Strategic Plan,text_or_divider,embedded_text,35,False,,,"[""City of Charlottetown""]","[""2022"", ""2026""]",0,7,False,False,,medium,[]
7,7,Strategic Plan,Our Guiding Principles,text_or_divider,embedded_text,35,False,,,[],"[""2023"", ""2024-2025""]",0,4,False,False,,medium,[]
8,8,Budget Overview,Budget Overview,text_or_divider,embedded_text,29,False,,,"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2023""]",0,27,False,False,,medium,[]
9,9,Budget Overview,Operational Vs. Capital: An Explanation,text_or_divider,embedded_text,36,False,,,[],[],0,1,False,False,,medium,[]
10,10,Budget Overview,1. Define,text_or_divider,embedded_text,39,False,,,[],[],0,20,False,False,,medium,[]
11,11,Budget Overview,Budget Basics,text_or_divider,embedded_text,38,False,,,"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]",[],0,1,False,False,,medium,[]
12,12,Budget Overview,2024/2025 Budget Timeline,text_or_divider,embedded_text,28,False,,,[],"[""2023"", ""2024"", ""2024/2025""]",0,28,False,False,,medium,[]
13,13,Operating Budget,Charlottetown Water and Sewer,text_or_divider,embedded_text,5,False,,,"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2024"", ""2024/2025""]",0,5,False,False,,medium,[]
14,14,Operating Budget,2024/2025 Operating Budget,table_or_profile,embedded_text,41,True,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",31,100,False,False,continuation-001,medium,[]
15,15,Operating Budget,Charlottetown Water and Sewer,table_or_profile,embedded_text,29,True,operating_statement,item | budget (2024/2025),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2024/2025""]",10,14,False,True,continuation-001,medium,"[""adjacent same-family page; continuation requires visual review""]"
16,16,Operating Budget,Charlottetown Water and Sewer,table_or_profile,embedded_text,29,True,operating_statement,item | budget (2024/2025),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2024/2025""]",11,16,False,True,continuation-001,medium,"[""adjacent same-family page; continuation requires visual review""]"
17,17,Operating Budget,City Government,text_or_divider,embedded_text,22,False,,,"[""City of Charlottetown""]",[],0,1,False,False,,medium,[]
18,18,Operating Budget,Communications,text_or_divider,embedded_text,29,False,,,[],[],0,2,False,False,,medium,[]
19,19,Operating Budget,2024/2025 Operating Budget,table_or_profile,embedded_text,48,True,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",33,101,False,False,,medium,[]
20,20,Operating Budget,"Economic, Tourism and Cultural Development",text_or_divider,embedded_text,21,False,,,[],"[""2024""]",0,3,False,False,,medium,[]
21,21,Operating Budget,2024/2025 Operating Budget,table_or_profile,embedded_text,39,True,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",23,82,False,False,continuation-002,medium,[]
22,22,Operating Budget,2024/2025 Operating Budget,table_or_profile,embedded_text,26,True,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",13,50,False,True,continuation-002,medium,"[""adjacent same-family page; continuation requires visual review""]"
23,23,Operating Budget,Environment and Sustainability,text_or_divider,embedded_text,23,False,,,[],[],0,1,False,False,,medium,[]
24,24,Operating Budget,2024/2025 Operating Budget,table_or_profile,embedded_text,40,True,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",27,85,False,False,,medium,[]
25,25,Operating Budget,Finance,text_or_divider,embedded_text,16,False,,,[],[],0,1,False,False,,medium,[]
26,26,Operating Budget,2024/2025 Operating Budget,table_or_profile,embedded_text,43,True,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",28,93,True,False,,high,[]
27,27,Operating Budget,Charlottetown Fire Department,text_or_divider,embedded_text,17,False,,,[],[],0,1,False,False,,medium,[]
28,28,Operating Budget,2024/2025 Operating Budget,table_or_profile,embedded_text,28,True,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",20,67,False,False,,medium,[]
29,29,Operating Budget,Human Resources,text_or_divider,embedded_text,18,False,,,[],"[""2024/25"", ""2025""]",0,4,False,False,,medium,[]
30,30,Operating Budget,2024/2025 Operating Budget,table_or_profile,embedded_text,19,True,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",11,42,False,False,,medium,[]
31,31,Operating Budget,Mayor and Council,text_or_divider,embedded_text,13,False,,,[],[],0,1,False,False,,medium,[]
32,32,Operating Budget,2024/2025 Operating Budget,table_or_profile,embedded_text,19,True,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",11,41,False,False,,medium,[]
33,33,Operating Budget,Parks and Recreation,text_or_divider,embedded_text,25,False,,,"[""Bell Aliant Centre"", ""Eastlink Centre""]","[""2024""]",0,3,False,False,,medium,[]
34,34,Operating Budget,2024/2025 Operating Budget,table_or_profile,embedded_text,44,True,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",30,98,False,False,continuation-003,medium,[]
35,35,Operating Budget,2024/2025 Operating Budget,table_or_profile,embedded_text,34,True,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",24,79,False,True,continuation-003,medium,"[""adjacent same-family page; continuation requires visual review""]"
36,36,Operating Budget,Planning and Heritage,text_or_divider,embedded_text,19,False,,,[],[],0,1,False,False,,medium,[]
37,37,Operating Budget,2024/2025 Operating Budget,table_or_profile,embedded_text,34,True,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",23,76,False,False,,medium,[]
38,38,Operating Budget,Charlottetown Police Services,text_or_divider,embedded_text,15,False,,,[],[],0,1,False,False,,medium,[]
39,39,Operating Budget,2024/2025 Operating Budget,table_or_profile,embedded_text,42,True,operating_statement,"item | budget | forecast (2023/2024, 2024/2025)","[""City of Charlottetown""]","[""2023/2024"", ""2024/2025""]",33,105,False,False,,medium,[]
40,40,Operating Budget,Public Works,text_or_divider,embedded_text,20,False,,,[],[],0,5,False,False,,medium,[]
